user,comment,sentiment,clean
lmk,Yum.  These took much longer than 16 minutes to cook - but I'm also in Denver (5000+ ft. altitude) and used a gluten free flour blend.  Either or both of those could have affected the outcome.,pos,yum take long minute cook denver ft altitude gluten free flour blend affect outcome
Sonya,"If you follow the recipe as written the tahini (sesame) flavour in the cookies is VERY subtle. If I didn't know it was there, I wouldn't have tasted it- I got the same feedback from the people I shared the cookies with. That being said they are still absolutely delicious cookies...",pos,follow recipe write tahini sesame flavour cookie subtle know taste get feedback people share cookie say absolutely delicious cookie
KV,I have made these cookies 5 times. My advice is do everything the recipe says. Don’t tell your step-father you used tahini and he will tell the world they are the best cookies he ever had. Fantastic. I wish someone had told me earlier in life about refrigerating dough. For me it made the whole experience more relaxing. Make the dough. Put in fridge. Clean up. Make cookies next day. Eat them and don’t have any dishes.,pos,cookie time advice recipe say don t tell step father tahini tell world good cookie fantastic wish tell early life refrigerate dough experience relax dough fridge clean cookie day eat don t dish
MaryN,"I liked this- the tahini is slightly more subtle than a PB cookie. Combined dark chocolate and milk chocolate chips, and used a sprinkle of kosher salt- did a little test, sprinkled when raw, and just out of of the oven. No difference. Also added a tsp of cornstarch. Doubled it and froze the balls of dough- baked for more like 11-13  minutes.",pos,like tahini slightly subtle pb cookie combine dark chocolate milk chocolate chip sprinkle kosher salt little test sprinkle raw oven difference add tsp cornstarch double freeze ball dough bake like minute
Maggie B,"Used Shaila M's tweaks. Baked first tray straight after mixing-- delicious but very crispy cookies resulted. They were a little less crispy when baked after refrigeration. The best though is to bake a frozen dough ball, then the cookie retains a lot more height, and softness inside. Very tasty.",pos,shaila m tweak bake tray straight mix delicious crispy cookie result little crispy bake refrigeration good bake frozen dough ball cookie retain lot height softness inside tasty
Suzaan,"Handled these like refrigerator cookies.  Formed into long roll 1-1/4 inch in diameter.  Wrapped in wax paper. After refrigerating overnight, popped into freezer for a few minutes.  Cut roll in wax paper into thirds, took out one at a time.  Cut into 1/4 inch slices, after each cut, turn roll one quarter of a circle or 90 degrees to retain cylindrical shape.  On pan, flattened dough if necessary to make crisp cookie.  Baked 15 minutes until brown at edges.  Regret I forgot salt, great anyway.",pos,handle like refrigerator cookie form long roll inch diameter wrap wax paper refrigerating overnight pop freezer minute cut roll wax paper third take time cut inch slice cut turn roll quarter circle degree retain cylindrical shape pan flatten dough necessary crisp cookie bake minute brown edge regret forget salt great
anna,"I made these exactly as the recipe stated, but they turned out really crisp and dry rather than chewy. Not sure if I did something wrong or if that's the recipe!",neu,exactly recipe state turn crisp dry chewy sure wrong recipe
faye49,"I made them for Passover and used matzo cake meal. I removed 1 TBS. from the cup to compensate.  When I baked them I used convection bake at 325 degrees but found 20 minutes was my 'sweet spot'. I don't like soft cookies and the extra time was perfect. I baked the 1st batch at 325 degrees but they were not done to my taste, the 'convection' was just enough extra.",pos,passover matzo cake meal remove tbs cup compensate bake convection bake degree find minute ' sweet spot ' like soft cookie extra time perfect bake st batch degree taste ' convection ' extra
Ellen,"I accidentally made these with 4T of butter instead of 4oz (where 4T is only 2oz) and they turned out wonderfully!! Surprisingly squishier than usual, and the tahini flavor was strong. I might have to cut the butter in half again the next time I make them.",pos,accidentally t butter instead oz t oz turn wonderfully surprisingly squishi usual tahini flavor strong cut butter half time
sarah b,"I have yet to meet someone that doesn’t love this cookie.
We make them as the recipe states using TJs chocolate chunks.

We use a Tb or 2 Tb scoop (I like smaller cookies, daughter likes bigger cookies)

We make these a few times a year.",pos,meet doesn t love cookie recipe state tjs chocolate chunk use tb tb scoop like small cookie daughter like big cookie time year
for next time,Try with half brown sugar,neu,try half brown sugar
Cindy from SF,I forgot to add the eggs until after I had mixed in the flour and chips so I incorporated them with my hands.   Hilled dough just two hours. Cookies were delicious despite my mistakes which tells me the recipe is solid and forgiving. My cookies has a slightly sandy texture which was quite nice.,pos,forget add egg mix flour chip incorporate hand hilled dough hour cookie delicious despite mistake tell recipe solid forgive cookie slightly sandy texture nice
Anne Marie,"I wasn't impressed, but I might have used ""too good"" chocolate chips (Guittard 63%). I followed the recipe to the letter because that's how I like to do it the first time around. I found myself wanting more of the tahini flavor to come through. As is, these were just so-so chocolate chip cookies to me. If I do make again, I will use semisweet chips, and increase the tahini. My expectations were high, too, because I am a big fan of the Peanut Butter-Miso cookies. Not even in the same league, imo.",neg,impressed good chocolate chip guittard follow recipe letter like time find want tahini flavor come chocolate chip cookie use semisweet chip increase tahini expectation high big fan peanut butter miso cookie league imo
Haley Gray,"I just made this recipe to the t and they came out sublime. The tahini wasn't super strong, but the cookies are soft and delicious and the salt is a fantastic finish. Wouldn't change a thing.",pos,recipe t come sublime tahini super strong cookie soft delicious salt fantastic finish change thing
Rachel H,"This recipe is fantastic on its own, but also does well with pistachio butter (in lieu of tahini) and a dash of cardamom for the pantry pastry chef looking to please her sweet tooth on whim.",pos,recipe fantastic pistachio butter lieu tahini dash cardamom pantry pastry chef look sweet tooth whim
Annie,"I can't say these were the best choc chip cookies I've ever had, but still a solid cookie. I would try to up the tahini flavor if possible, or maybe split the sugar half-half between white and brown sugar. They were a bit lacking in depth of flavor. But still pretty tasty!",pos,good choc chip cookie solid cookie try tahini flavor possible maybe split sugar half half white brown sugar bit lack depth flavor pretty tasty
kellyn,"We love these cookies and have baked them many times.  Most recently we used King Arthur Paleo flour and stevia chocolate chips to very good effect.  The flour didn’t seem to make any difference at all, and independent tasters agreed that the stevia chocolate chips paired quite well with the dough to reduce the sugar content.",pos,love cookie bake time recently king arthur paleo flour stevia chocolate chip good effect flour didn t difference independent taster agree stevia chocolate chip pair dough reduce sugar content
Julie T,"For me, this took much longer to bake than it says and the cookies REALLY expand.",neu,take long bake say cookie expand
Michelle O,"Used a cheap electric hand mixer for these, and the dough ended up very light, fluffy, and airy! Let dough sit in freezer for 1hr before baking. 
Made vegan with plant based butter and 2 flax eggs (1TBSP flax meal + 3 TBSP water x 2). Used a commenter's suggestion of 1/2 cup white sugar and 1/2 cup light brown sugar. 
Cookies ended up slightly flat (as in photo/video), but chewy and very light and crispy :)",pos,cheap electric hand mixer dough end light fluffy airy let dough sit freezer hr bake vegan plant base butter flax egg tbsp flax meal tbsp water x commenter suggestion cup white sugar cup light brown sugar cookie end slightly flat photo video chewy light crispy
Alexis Sogl,I always reduce the sugar to 1/2 cup - delicious!,pos,reduce sugar cup delicious
